Algorithm,Partition,Num_Clusters,Silhouette,Log_Silhouette,Sqrt_Silhouette,Calinski_Harabasz,Davies_Bouldin,Scaled_Silhouette,Scaled_Calinski,Scaled_Davies,Synthetic_Score
DENCLUE,2,2,0.8600138494677562,0.6205839336477954,0.9273693166520856,92.74049402314253,0.09856692755335786,0.9999999989259046,0.21346471284868368,1.0,0.8033661776751232
CentroidLinkage,1,3,0.5482774343651121,0.4371429802754338,0.7404575844470176,72.90045178321418,0.504766731910515,0.6651653449242525,0.15982614930538758,0.8615824506573155,0.587934822452802
SimpleLinkage,1,3,0.5112447474803199,0.41293364732813387,0.7150138092934428,49.81645978235221,0.27718443119955316,0.6253887057538235,0.09741740254983403,0.9391339019388705,0.5718321789990879
AverageLinkage,1,3,0.5112447474803199,0.41293364732813387,0.7150138092934428,49.81645978235221,0.27718443119955316,0.6253887057538235,0.09741740254983403,0.9391339019388705,0.5718321789990879
OPTICS,1,5,0.5102480717454687,0.4122739232575298,0.7143165067009642,73.48088877914209,0.6054942486098132,0.6243181809172533,0.16139539025318667,0.8272583178947304,0.5593225174956059
SimpleLinkage,2,5,0.49181380307291545,0.39999269712577284,0.701294376900967,41.09486674050339,0.45700816023534757,0.6045180174659751,0.0738381320565235,0.8778567678294901,0.540182733704491
CentroidLinkage,2,5,0.4670860115935445,0.3832781283852295,0.6834369112021567,69.31185818145781,0.6476438417686261,0.5779580100266968,0.1501242039359623,0.81289532872474,0.529733888178524
CompleteLinkage,1,3,0.40933139469657775,0.34311540376886285,0.6397901176921833,111.37474025969236,0.8036871731227956,0.5159240408501204,0.26384334555285555,0.7597216558533437,0.51385327077661
AverageLinkage,2,5,0.40874955272404756,0.3427024688733409,0.63933524282965,87.77906811074395,0.7061725419694229,0.5152990870554486,0.2000512454855967,0.7929509585869254,0.5059000945458548
SpectralClustering,1,3,0.4086574916152858,0.3426371172167675,0.6392632412514314,118.96171364782737,1.0281227600625906,0.5152002046406716,0.28435511408940506,0.6832424857595583,0.49949950228257667
KMeans,1,3,0.18868827729815563,0.17285041117248381,0.4343826392688313,383.66725062106394,1.9535776059258732,0.2789322802063702,0.9999999999972965,0.3678824328554602,0.4814367483163743
CompleteLinkage,2,5,0.37752118478212704,0.320285641078854,0.6144275260615584,90.49202580637916,0.8433817110136068,0.4817568402459883,0.20738586463548658,0.7461952567802774,0.4792737004769351
BisectingKMeans,1,3,0.18791930054049066,0.17220328979521435,0.43349659807256924,379.14210229978175,1.961588224897999,0.27810632579708733,0.9877660312970962,0.36515271650664405,0.47728284984947866
DENCLUE,1,18,0.3882793698747679,0.3280651169574057,0.6231206703960059,17.428305874716898,0.4253156864224833,0.4933121575225858,0.009854380736881222,0.8886563657385199,0.47128376538014316
Ward,1,3,0.16763879433719944,0.1549835851543224,0.409437167752513,341.86593278748336,2.0844451853213664,0.25632312707992283,0.886988010622715,0.32328770525089934,0.430730492508365
STING,2,2,0.36688903090384345,0.31253737734643944,0.6057136542161184,13.783328881433953,0.9042569451893289,0.4703368925188188,0.0,0.7254512765028851,0.4165312653851307
STING,1,2,0.36156524385506594,0.30863495255279705,0.6013029551358167,16.825830171786134,0.9124966706238571,0.4646186372618289,0.008225557023496803,0.7226434893260573,0.41502658021830297
BIRCH,1,3,0.15849811509031364,0.1471244378629137,0.3981182174810814,330.82812074234647,2.143436074316722,0.24650516541521536,0.8571467242180661,0.3031858386308359,0.4133357234198332
HDBSCAN,1,2,0.19761011269385023,0.1803279982207716,0.4445335900624949,240.608248973283,1.7047814775448817,0.2885151826940166,0.6132327110203595,0.45266275526586897,0.41073145791856547
SpectralClustering,2,5,0.37264014090821407,0.31673599549740705,0.6104425778959182,71.10248516236625,1.604427218716569,0.4765141334029318,0.1549652550756873,0.4868596958456405,0.39871330443179787
HDBSCAN,2,2,0.19514234516821222,0.1782652955851473,0.4417491880787244,202.46758673041907,1.6296168300853748,0.2858645649106195,0.5101174902684585,0.4782760278153648,0.39003066197626557
KMeans,2,5,0.11308528060641157,0.10713569164595121,0.33628154960748524,305.5773767888433,2.1295405364474003,0.19772744813555493,0.788880053326625,0.30792091304012537,0.3730639656594651
Ward,2,5,0.1262951913462679,0.118933654637085,0.35538034743956776,267.35551458837926,2.155125556532627,0.21191615268749545,0.6855453043583635,0.29920250465564824,0.3521450285972506
BIRCH,2,5,0.12425049906829154,0.11711659058078182,0.3524918425556704,264.2903875253943,2.164287177992798,0.20971995808761001,0.6772585774074843,0.29608057013741484,0.34819476593002985
BisectingKMeans,2,5,0.10374305090312486,0.09870717701870495,0.32209168089710866,293.2714229133269,2.35472485707684,0.18769300204983216,0.7556102809677562,0.23118660278792702,0.34054572196383687
DBSCAN,2,3,0.16970579404476166,0.15675225910738017,0.4119536309401359,116.98299735096553,1.5611108194768744,0.2585432819876362,0.2790055539150936,0.5016202884525143,0.32442810158572005
GaussianMixture,1,3,0.09342431780423915,0.0893143477694355,0.30565391835250394,219.8392166396972,3.0331644995209026,0.1766096981446302,0.5570825754971684,3.4076230726043377e-10,0.2275754930317978
GaussianMixture,2,5,0.05811775293959431,0.05649162491745566,0.24107623885317753,187.72038930405378,2.7953404186767123,0.13868707872094913,0.4702476917733882,0.08104146341390728,0.20716582815729842
DBSCAN,1,13,-0.0710021342191391,-0.07364883750047362,-0.26646225665024137,25.379619869643918,1.2934127329760015,0.0,0.03135116263945508,0.5928416841787328,0.15604821170454697
